molecule_chembl_id,smiles
CHEMBL1210090,C[C@]12CN(S(=O)(=O)c3ccccc3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210091,C[C@]12CN(S(=O)(=O)c3ccccn3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210150,C[C@]12CN(c3cccc(S(N)(=O)=O)c3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210151,C[C@]12CN(c3cccc(S(C)(=O)=O)c3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210152,C[C@]12CN(c3cc(Cl)ncn3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210214,C[C@]12CN(c3ncccn3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210783,C[C@]12CN(c3cccc(C(N)=O)c3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210840,CN1C(=O)[C@]2(C)O[C@](C)(C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12
CHEMBL1210841,C[C@]12O[C@](C)(C(=O)N(CC3CC3)C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12
CHEMBL1210842,CC(C)OC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210843,CC(C)[N+]1([O-])C(=O)[C@]2(C)O[C@](C)(C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12
CHEMBL1210876,COc1ccc(C=C2c3cccc(Cl)c3C(=O)c3c(Cl)cccc32)cc1O
CHEMBL1210878,COc1cccc(C=C2c3cccc(Cl)c3C(=O)c3c(Cl)cccc32)c1O
CHEMBL1210880,COc1cc(C=C2c3cccc(Cl)c3C(=O)c3c(Cl)cccc32)cc(OC)c1O
CHEMBL1210907,CCNC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210908,CC(C)N1C(=O)[C@]2(C)O[C@](C)(C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12
CHEMBL1210909,C[C@]12CN(O)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210910,CON1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12
CHEMBL1210959,COc1ccc(C=C2c3cccc(Cl)c3C(=O)c3c(Cl)cccc32)c(OC)c1O
CHEMBL1214839,N#Cc1ccc(N2N=C(c3ccc(C(=O)O)cc3)C[C@@H]2c2ccc(F)cc2)cc1Cl
CHEMBL1215127,N#Cc1ccc(N2N=C(c3ccc(C(=O)O)cc3)C[C@@H]2C2CCCC2)cc1Cl
CHEMBL1215130,COc1cc(C2=NN(c3ccc(C#N)c(Cl)c3)[C@@H](C3CCCC3)C2)ccc1C(=O)O
CHEMBL1215197,CCOc1cc(C2=NN(c3ccc(C#N)c(Cl)c3)[C@@H](C3CCCC3)C2)ccc1C(=O)O
CHEMBL1215331,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl
CHEMBL1215403,COC(=O)C1=C(C)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
CHEMBL1215406,CCCC1=C(C(=O)OC)C(c2ccccc2Cl)C(C#N)=C(C)N1
CHEMBL1215480,CCCCC1=C(C(=O)OC)C(c2ccccc2Cl)C(C#N)=C(C)N1
CHEMBL1215485,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1
CHEMBL1215549,CCCC1=C(C(=O)OC)C(c2ccc(F)cc2Cl)C(C#N)=C(C)N1
CHEMBL1215550,COC(=O)C1=C(C(F)(F)F)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
CHEMBL1215552,COC(=O)C1=C(Cn2ccnc2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
CHEMBL1215620,COC(=O)C1=C(Cn2cccn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
CHEMBL1215621,COC(=O)C1=C(Cn2cncn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
CHEMBL1215622,COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
CHEMBL1215623,COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)[C@H]1c1ccc(F)cc1Cl
CHEMBL1215627,Cc1cc(N2N=C3c4ccc(C(=O)O)cc4CO[C@@H]3[C@@H]2C2CCCC2)ccc1C#N
CHEMBL121626,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
CHEMBL124718,C[C@](O)(COc1ccc(F)cc1)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
CHEMBL124881,C[C@@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
CHEMBL125236,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1
